PM2.5 (µg/m³),PM10 (µg/m³),NO2 (µg/m³),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),AQI
19.26,26.35,1.23,2.35,22.6,0.4,7.68,38
16.22,22.17,2.81,2.18,24.1,0.38,4.54,31
14.24,19.49,2.77,2.24,23.54,0.42,2.64,32
15.62,21.37,1.27,2.3,22.93,0.42,4.81,33
12.61,17.26,1.25,2.27,23.59,0.34,4.59,35
9,12.32,1.19,2.05,23.29,0.27,2.55,30
7.29,9.97,1.2,2.01,23.74,0.23,2.08,30
9.15,12.53,1.3,2.02,22.95,0.25,1.79,31
8.73,11.95,1.22,2.06,22.96,0.38,1.82,31
11.08,15.17,1.26,2.04,23.2,0.44,2.5,31
6.9,9.44,1.22,1.92,23.32,0.3,2.13,34
8.58,11.74,1.21,2.07,23.66,0.44,2.51,34
8.07,11.05,1.52,2.08,23.33,0.39,1.55,33
16.16,22.12,1.21,2.21,23.23,0.59,4.03,32
17.79,24.35,1.21,2.18,22.92,0.48,3.17,45
12.34,16.88,1.2,1.87,25.1,0.33,15.29,37
14.06,18.47,1.96,1.86,24.07,0.31,4.3,42
32.58,60.34,1.27,2.22,20.83,0.31,1.97,55
37.13,68.76,1.28,2.26,20.56,0.37,3.54,54
25.9,47.96,1.26,2.06,21.33,0.25,4.42,50
33.72,62.44,1.3,2.19,20.72,0.32,4.38,60
24.06,44.55,1.3,2.09,20.93,0.24,3.12,43
25.32,46.88,1.27,1.92,20.77,0.16,5.16,45
33.86,62.7,1.12,2.15,21.57,0.33,4.19,57
33.34,61.73,1.22,1.95,22.88,0.31,3.8,64
28.37,52.54,1.22,2.07,22.9,0.32,3.23,55
24.67,45.69,1.13,1.83,22.92,0.19,3.54,44
26.7,49.45,1.21,1.85,22.17,0.2,4.31,48
20.27,37.53,1.22,1.9,20.91,0.25,4.05,47
28.69,53.14,1.3,1.9,21.3,0.26,4,43
30.38,56.26,1.23,1.83,20.81,0.26,4.46,57
33,61.11,1.24,1.88,20.85,0.33,4.06,67
28.13,52.08,1.5,1.84,21.06,0.26,3.8,76
26.75,49.53,1.32,1.77,20.99,0.17,4.74,48
27.23,50.42,1.26,1.78,21.09,0.23,4.23,59
28.27,52.35,1.24,1.79,20.96,0.16,5.17,58
18.51,34.29,2.23,1.82,21.23,0.21,4.39,45
28.02,51.88,1.9,1.83,21.19,0.26,4.5,44
18.9,34.99,1.23,1.71,22.58,0.2,3.11,34
10.46,19.36,1.8,1.61,23.79,0.1,1.9,35
18.08,33.48,1.27,1.69,23.36,0.27,1.51,32
24.3,45,1.2,1.61,23.08,0.17,1.99,42
23.14,42.85,1.22,1.67,22.22,0.31,1.63,54
21.37,39.58,1.31,1.73,20.81,0.38,1.8,37
28.21,52.24,1.28,1.66,21.85,0.26,1.96,53
16.96,31.41,1.23,1.62,23.23,0.22,1.62,54
23.39,43.31,1.28,1.59,23.19,0.16,1.47,48
18.2,33.71,1.18,1.64,23.72,0.15,1.51,48
27.52,50.97,1.23,1.79,23.11,0.37,1.04,41
25.83,47.83,1.22,1.77,22.94,0.32,1.22,66
32.71,60.59,1.23,1.74,23.14,0.39,0.81,93
29.45,54.54,1.23,1.75,23.25,0.27,1.9,51
30.93,57.28,1.24,1.8,23.11,0.3,2.34,80
30.98,57.32,2.66,2.04,24.14,0.32,2.13,58
18.55,34.35,1.23,1.89,23.44,0.12,3.24,45
21.48,39.77,1.2,1.85,23.18,0.15,2.79,35
22.87,42.35,1.23,1.99,23.55,0.31,1.91,45
39.98,74.03,1.23,2.06,23.57,0.53,1.66,60
24.63,45.61,1.26,2.02,21.13,0.31,2.39,68
20.83,38.57,1.33,2.03,21.24,0.39,1.78,37
20.72,38.37,1.26,1.99,21.35,0.33,2.63,35
,,1.28,2.19,21.33,0.28,2.36,50
29.42,54.49,1.3,2.01,21.36,0.22,3.24,49
17.93,33.21,1.28,1.9,21.33,0.3,1.7,41
21.01,38.9,3.01,1.91,21.28,0.28,1.52,45
35.74,66.18,1.27,1.89,22.56,0.42,2.09,62
38.56,71.41,1.22,2.14,22.39,0.45,4.26,59
45.52,84.3,1.29,2.15,21.34,0.4,3.71,100
34.4,63.7,3.15,1.85,21.45,0.18,3.61,67
30.36,56.23,9.98,1.93,21.34,0.25,2.94,52
33.08,61.26,1.26,2.18,21.27,0.33,2.56,57
35.79,66.27,1.21,2.06,21.3,0.28,3.17,67
39.44,73.04,1.28,2.2,21.27,0.37,2.52,75
27.47,50.87,1.25,2.05,21.3,0.28,3.33,43
44.81,82.98,1.29,2.13,21.36,0.48,3.81,81
46.51,86.12,1.26,2.08,21.37,0.55,3.1,88
34.01,62.98,1.22,2.08,21.4,0.35,3.28,63
22.81,42.24,1.21,1.89,22.64,0.18,2.51,47
24.24,44.89,6.46,1.99,23.84,0.21,1.89,45
31.86,59,18.21,2.16,23.49,0.39,1.36,57
35.23,65.25,1.23,1.88,23.29,0.1,2.35,58
34.24,63.4,1.19,1.8,23.29,0.05,3.12,78
32.13,59.51,1.21,1.89,23.1,0.19,2.54,74
35.51,65.76,1.21,1.97,23.32,0.28,2.2,68
22.21,41.13,1.18,1.64,24.93,0.11,2.43,51
