PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),AQI
14.87,29.76,2.01,1.24,4.11,3.06,19.17,0.45,14.98,0.09,39
18.69,37.38,2,1.28,4.13,3.82,19.26,0.98,16.91,0.2,44
19.65,39.3,1.94,1.32,4.06,3,19.71,0.64,11.75,0.13,47
13.8,27.6,2.05,1.42,4.06,3.27,19.84,0.65,9.99,0.13,31
14.47,28.93,1.98,1.65,4.44,3.03,19.52,0.5,9.79,0.1,31
15.18,30.36,1.99,1.3,4.11,2.36,19.61,0.35,12.79,0.07,36
5.45,18.99,1.99,1.24,4.07,2.34,20.05,0.31,12.25,0.06,29
3.4,16.71,1.98,1.28,4.08,2.26,19.79,0.31,11.22,0.06,30
,,1.95,1.33,4.1,2.23,19.96,0.31,7.76,0.06,29
34.15,52.96,1.9,1.24,3.95,3.3,22.79,0.75,7.13,0.15,29
30.67,47.59,1.92,1.22,3.95,3,22.92,0.6,7.11,0.12,34
30.53,47.37,1.94,1.26,4.04,2.54,22.95,0.41,8.86,0.08,36
21.27,32.99,1.99,2.15,4.95,2.51,22.67,0.33,10.2,0.07,31
32.91,51.07,2.19,3.51,6.52,2.61,20.02,0.4,12.15,0.08,33
44.76,69.46,2.33,4.27,7.44,3.56,19.92,0.87,14.01,0.18,45
46.52,70.47,2.07,2.95,5.82,3.04,19.76,0.47,11.2,0.09,61
36.56,50.03,1.95,1.34,4.1,2.31,19.95,0.38,11.35,0.08,48
22.45,30.73,1.98,1.29,4.1,2.2,19.87,0.43,11.5,0.09,44
25.55,34.97,1.91,1.28,3.99,2.08,20.13,0.3,12.66,0.06,40
24.05,32.92,1.96,1.29,4.07,3.11,20.24,0.54,11.29,0.11,37
28.37,38.83,1.99,1.26,4.1,2.79,20.3,0.37,15.04,0.07,40
24.22,33.15,1.98,1.27,4.08,2.39,20.31,0.48,13.99,0.1,41
29.98,41.03,1.95,1.36,4.12,2.76,21.36,0.42,10.46,0.09,45
34.4,47.07,1.93,1.23,3.97,3.11,22.92,0.58,12.34,0.11,50
41.62,56.95,1.89,1.19,3.86,3.1,23.59,0.5,12.67,0.1,57
31.72,43.41,1.9,1.23,3.94,3.03,23.33,0.43,11.06,0.09,48
33.32,45.6,1.94,1.23,3.97,3.3,22.55,0.47,12.44,0.09,59
28.13,38.49,1.91,1.31,4.02,3.31,21.6,0.45,11.92,0.09,44
34.27,46.87,2,1.33,4.16,4.26,20.01,1.08,13.15,0.21,52
34.73,47.53,1.94,1.2,3.95,2.94,22.79,0.41,10.63,0.08,55
27.56,37.72,1.84,1.25,3.86,2.62,25.52,0.27,6.52,0.05,46
33.86,46.34,1.81,1.19,3.75,2.62,25.8,0.32,7.04,0.06,57
29.08,39.8,1.81,1.21,3.78,2.71,27.33,0.26,5.95,0.05,50
26.4,36.13,1.81,1.26,3.84,2.17,26.17,0.19,6.93,0.04,48
